Listing Name,Price,Details
"
                ZEN LOFT 2 - INSTANT BOOK NOW :)
              ",95,"
  Private room · 3 reviews · Williamsburg, Brooklyn

"
"
                Cozy private room in Clinton Hill
              ",36,"
  Private room · 4 reviews · Clinton Hill, Brooklyn

"
"
                4 bedroom apartment
              ",443,"
  Entire home/apt · 60 reviews · Prospect Heights, Brooklyn

"
"
                Unique Bushwick Loft, Great View!
              ",95,"
  Private room · 13 reviews · Williamsburg, Brooklyn

"
"
                Lovely Bedrooms in Artist's Home
              ",119,"
  Private room · 51 reviews · Clinton Hill, Brooklyn

"
"
                Stunning Room in Brooklyn New York
              ",139,"
  Private room · 61 reviews · Williamsburg, Brooklyn

"
"
                NEW! Airy 2 Bedroom Brownstone
              ",139,"
  Entire home/apt · 12 reviews · Bedford-Stuyvesant, Brooklyn

"
"
                Beautiful Room w/ Rooftop Patio!
              ",101,"
  Private room · 14 reviews · Williamsburg, Brooklyn

"
"
                Historic House in Williamsburg 
              ",126,"
  Private room · 70 reviews · Williamsburg, Brooklyn

"
"
                BRIGHT SPACIOUS 1BR in CLINTON HILL
              ",228,"
  Entire home/apt · 10 reviews · Clinton Hill, Brooklyn

"
"
                Spacious 1BR NYC home base in BKLN!
              ",123,"
  Entire home/apt · 6 reviews · Park Slope, Brooklyn

"
"
                3br in Neo-French Reniassance Home
              ",208,"
  Entire home/apt · 18 reviews · Lefferts Garden, Brooklyn

"
"
                PRIVATE and SUNNY Williamsburg Apt!
              ",176,"
  Entire home/apt · 143 reviews · Williamsburg, Brooklyn

"
"
                Prospect Park. Bikes. Garden.Trendy
              ",82,"
  Private room · 9 reviews · Flatbush, Brooklyn

"
"
                Williamsburg 1 bedroom Apartment
              ",171,"
  Entire home/apt · 49 reviews · Williamsburg, Brooklyn

"
"
                Guestroom w/ 2 beds 20 mins to NYC 
              ",70,"
  Private room · 88 reviews · Bushwick, Brooklyn

"
"
                Best Bedroom with Private Bathroom
              ",113,"
  Private room · 11 reviews · Williamsburg, Brooklyn

"
"
                Luxury Apt. in Prime Williamsburg
              ",254,"
  Entire home/apt · 8 reviews · Williamsburg, Brooklyn

"
